decade_id,term_str,n,tfidf
0,book,6,0.0022879889206824885
0,books,1,0.0003813314867804147
0,boom,15,0.005719972301706221
0,booom,1,0.0010332219691793715
0,boot,1,0.0016851124515783284
0,boots,2,0.003370224903156657
0,borderline,3,0.001955671447196871
0,born,8,0.0013717570056521187
0,both,2,0.0
0,bottles,1,0.0003813314867804147
0,bottom,1,0.000651890482398957
0,bought,1,0.00017146962570651483
0,boulevard,1,0.000651890482398957
0,bounce,1,0.0016851124515783284
0,bound,5,0.0019066574339020737
0,bounds,1,0.0010332219691793715
0,bout,21,0.0
0,bow,1,0.0003813314867804147
0,bowl,1,0.0010332219691793715
0,box,1,0.0003813314867804147
0,boy,50,0.0
0,boyfriends,1,0.0016851124515783284
0,boys,8,0.0
0,bra,1,0.000651890482398957
0,brain,3,0.0005144088771195446
0,brains,1,0.0016851124515783284
0,branches,1,0.0016851124515783284
0,brand,5,0.0008573481285325743
0,brandnew,4,0.006740449806313314
0,brat,1,0.0016851124515783284
0,brave,1,0.0003813314867804147
0,bread,1,0.00017146962570651483
0,break,25,0.0
0,breakin,4,0.0006858785028260593
0,breaking,7,0.0012002873799456038
0,breaks,1,0.000651890482398957
0,breath,2,0.0
0,breathe,7,0.0
0,breathing,1,0.0010332219691793715
0,bredrin,1,0.0016851124515783284
0,breeds,1,0.0016851124515783284
0,brick,1,0.0010332219691793715
0,bride,2,0.002066443938358743
0,bridesmaid,1,0.0016851124515783284
0,bridge,1,0.00017146962570651483
0,bridges,1,0.0010332219691793715
0,bright,15,0.002572044385597723
0,brighter,1,0.000651890482398957
0,brightside,2,0.003370224903156657
0,bring,10,0.0
0,bringing,1,0.0010332219691793715
0,brings,3,0.0005144088771195446
0,brink,1,0.0016851124515783284
0,broadway,2,0.003370224903156657
0,broke,3,0.0
0,broken,14,0.0
0,brokenhearted,1,0.0016851124515783284
0,brooklyn,4,0.006740449806313314
0,brother,1,0.0
0,brothers,2,0.001303780964797914
0,brought,6,0.0010288177542390892
0,brown,6,0.0
0,bubble,1,0.0010332219691793715
0,bubblegum,1,0.0016851124515783284
0,buenas,1,0.0016851124515783284
0,bugs,1,0.000651890482398957
0,build,1,0.000651890482398957
0,bullet,14,0.005338640814925806
0,bulletproof,12,0.007822685788787484
0,buried,1,0.000651890482398957
0,burn,4,0.0
0,burning,3,0.0
0,burstin,2,0.003370224903156657
0,bursting,1,0.0010332219691793715
0,bus,2,0.0
0,bust,2,0.001303780964797914
0,but,293,0.0
0,butterflies,3,0.001955671447196871
0,butterfly,12,0.007822685788787484
0,buy,4,0.0
0,by,56,0.0
0,byebye,1,0.0010332219691793715
0,bygones,2,0.003370224903156657
0,bе,1,0.0010332219691793715
0,caaash,1,0.0016851124515783284
0,cab,5,0.005166109845896858
0,cable,1,0.0016851124515783284
0,caddy,1,0.0016851124515783284
0,café,1,0.0016851124515783284
0,cage,4,0.004132887876717486
0,calculator,2,0.003370224903156657
0,cali,1,0.0016851124515783284
0,california,28,0.028930215137022403
0,californication,14,0.0235915743220966
0,call,88,0.0
0,called,5,0.0
0,callin,1,0.0003813314867804147
0,calling,20,0.007626629735608295
0,calls,2,0.0
0,came,11,0.0
0,camino,1,0.0016851124515783284
