term_str,dfidf
ahí,2.584962500721156
aids,3.169925001442312
aim,3.169925001442312
ain,2.584962500721156
aint,0.0
air,0.0
airline,2.584962500721156
airplane,2.584962500721156
aisle,2.584962500721156
aj,2.584962500721156
aje,2.584962500721156
ajá,2.584962500721156
ak,2.584962500721156
aka,2.584962500721156
akimbos,2.584962500721156
aknocking,2.584962500721156
aks,2.584962500721156
al,2.584962500721156
alabam,2.584962500721156
alabama,3.169925001442312
alarm,2.584962500721156
alarmin,2.584962500721156
albino,2.584962500721156
album,2.584962500721156
alchemy,2.584962500721156
alcohol,2.584962500721156
alderaans,2.584962500721156
alexander,2.584962500721156
alfred,2.584962500721156
alibis,2.584962500721156
alice,2.584962500721156
alien,2.584962500721156
align,2.584962500721156
alive,0.0
all,0.0
allegations,2.584962500721156
allegorically,2.584962500721156
alley,3.169925001442312
alligator,3.169925001442312
allinferno,2.584962500721156
allow,3.169925001442312
allowed,2.584962500721156
alltime,2.584962500721156
allwhite,2.584962500721156
almighty,2.584962500721156
almost,0.0
alocá,2.584962500721156
alone,0.0
along,0.0
alongside,2.584962500721156
alonе,3.169925001442312
aloud,3.169925001442312
alpha,2.584962500721156
alquanto,2.584962500721156
already,1.315172029168969
alright,0.0
also,2.3398500028846247
alternativerock,2.584962500721156
although,3.0
altogether,2.584962500721156
altruism,2.584962500721156
always,0.0
am,0.0
amano,2.584962500721156
amar,2.584962500721156
amaro,2.584962500721156
amazed,2.584962500721156
amazing,2.584962500721156
amazon,2.584962500721156
amber,2.584962500721156
ambien,2.584962500721156
ambitious,2.584962500721156
ambush,2.584962500721156
amen,2.584962500721156
amend,2.584962500721156
amends,2.584962500721156
america,3.0
american,3.0
americana,2.584962500721156
americas,2.584962500721156
amex,2.584962500721156
amiga,2.584962500721156
amine,2.584962500721156
amistad,2.584962500721156
among,2.584962500721156
amongst,3.169925001442312
amor,2.584962500721156
amounted,2.584962500721156
amsterdam,2.584962500721156
amuse,2.584962500721156
amused,3.169925001442312
amusement,2.584962500721156
amusing,2.584962500721156
amy,2.584962500721156
an,0.0
ana,2.584962500721156
analyze,2.584962500721156
anche,2.584962500721156
ancient,2.584962500721156
ancora,2.584962500721156
and,0.0
ando,2.584962500721156
anever,2.584962500721156
angel,0.0
angels,1.315172029168969
angemacht,2.584962500721156
anger,3.0
angry,3.0
angus,2.584962500721156
animal,3.0
animals,3.169925001442312
animator,2.584962500721156
anime,2.584962500721156
animosity,2.584962500721156
annemarie,2.584962500721156
anniversary,3.169925001442312
announced,2.584962500721156
annoying,2.584962500721156
another,0.0
anothers,2.584962500721156
answer,1.315172029168969
answers,2.3398500028846247
anthem,2.584962500721156
anti,2.584962500721156
antihero,2.584962500721156
antonio,2.584962500721156
anxiety,2.584962500721156
any,0.0
anybody,3.169925001442312
anybodys,2.584962500721156
anyhow,2.584962500721156
anymore,0.0
anyone,1.315172029168969
anythin,2.584962500721156
anything,0.0
anytime,3.169925001442312
anyway,1.315172029168969
anyways,2.584962500721156
anywhere,1.315172029168969
aoww,2.584962500721156
ap,2.584962500721156
apart,1.315172029168969
apartment,3.169925001442312
aperti,2.584962500721156
apex,2.584962500721156
aphrodite,2.584962500721156
apocalypse,2.584962500721156
apollo,2.584962500721156
apologise,2.584962500721156
apologize,3.169925001442312
aporque,2.584962500721156
app,2.584962500721156
appeal,3.169925001442312
appear,3.169925001442312
appeared,2.584962500721156
appears,3.169925001442312
appetite,3.169925001442312
applause,3.169925001442312
apple,3.169925001442312
apply,2.584962500721156
appreciate,3.0
approach,3.169925001442312
approaching,2.584962500721156
approval,2.584962500721156
apresident,2.584962500721156
aquaman,2.584962500721156
aquí,2.584962500721156
arabia,2.584962500721156
arc,2.584962500721156
arch,2.584962500721156
architecture,3.169925001442312
archived,2.584962500721156
arcoíris,2.584962500721156
are,0.0
arenas,2.584962500721156
arent,2.3398500028846247
argue,3.169925001442312
argument,2.584962500721156
aringin,2.584962500721156
arm,1.315172029168969
armed,2.584962500721156
armored,2.584962500721156
arms,0.0
army,2.584962500721156
aro,2.584962500721156
around,0.0
arrebatao,2.584962500721156
arrest,3.169925001442312
arrested,2.584962500721156
arriba,2.584962500721156
arrive,2.3398500028846247
arrived,3.0
arroof,2.584962500721156
arrow,2.584962500721156
arroyo,2.584962500721156
art,2.584962500721156
arthur,2.584962500721156
artifacts,2.584962500721156
artist,3.169925001442312
artisti,2.584962500721156
aruba,2.584962500721156
arе,2.584962500721156
as,0.0
asap,2.584962500721156
ascend,2.584962500721156
aseparate,2.584962500721156
ashake,2.584962500721156
ashamed,3.0
ashes,2.584962500721156
ashinin,2.584962500721156
ashtrays,2.584962500721156
asian,3.169925001442312
aside,2.584962500721156
ask,0.0
asked,2.3398500028846247
askin,3.0
asking,2.3398500028846247
asks,2.584962500721156
asleep,0.0
aslittin,2.584962500721156
aspen,2.584962500721156
aspetto,2.584962500721156
aspirin,2.584962500721156
ass,0.0
assassin,2.584962500721156
asset,2.584962500721156
assistant,2.584962500721156
