decade_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,deceiving,1,0.0016851124515783,VBG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
0,defend,1,0.0010332219691793,VB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,defense,1,0.0016851124515783,NN,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,defunct,1,0.0016851124515783,NNP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,degrading,3,0.0050553373547349,VBG,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,delight,7,0.0026693204074629,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,delighted,1,0.0016851124515783,VBD,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,demise,1,0.0016851124515783,JJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,deny,4,0.0015253259471216,VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,desert,1,0.0003813314867804,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,deserve,1,0.0006518904823989,VB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,destination,1,0.0010332219691793,NN,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0,destruction,3,0.0030996659075381,NN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,devil,1,0.0001714696257065,NN,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,dictionary,1,0.0016851124515783,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,die,21,0.0,VBP,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,dirty,19,0.0032579228884237,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,disconnect,1,0.0016851124515783,VBP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,discriminate,2,0.0033702249031566,VB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,disease,1,0.0010332219691793,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,doctor,1,0.0006518904823989,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,doubt,2,0.0,NN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
0,dying,2,0.000342939251413,VBG,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,eager,2,0.0033702249031566,JJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,electric,14,0.0024005747598912,JJ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,embrace,1,0.0006518904823989,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,emergency,1,0.0016851124515783,NN,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0
0,endless,1,0.0006518904823989,JJ,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,enemy,1,0.0010332219691793,NN,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,equality,1,0.0016851124515783,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,escape,22,0.0037723317655433,NN,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,evil,1,0.0006518904823989,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,expect,2,0.0020664439383587,VBP,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,explain,4,0.0,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,failing,1,0.0016851124515783,VBG,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,faith,5,0.0008573481285325,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,faithless,1,0.0016851124515783,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,fall,22,0.0,VB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,falling,7,0.0012002873799456,VBG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,fancy,2,0.0013037809647979,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,fat,1,0.0006518904823989,JJ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,fate,1,0.0001714696257065,NN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,fault,11,0.0018861658827716,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,favorite,7,0.0,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,fear,2,0.0,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,feeling,16,0.0,NN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,fell,3,0.0005144088771195,VBD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,fierce,1,0.0010332219691793,NNP,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,fight,8,0.0,VB,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,finally,3,0.0,RB,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0,food,1,0.0001714696257065,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,fool,14,0.0,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,force,3,0.0030996659075381,VB,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,forgotten,2,0.0013037809647979,JJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,found,24,0.0,VBD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,fragile,1,0.0010332219691793,NNP,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,friend,7,0.0,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,frustrate,1,0.0016851124515783,VBP,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,fun,11,0.0,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
