,PC1,PC2,PC3,PC4,PC5,PC6
chosen,0.0010325184367514242,-0.001855849934927112,0.002062343728992041,-0.0036076286661215246,0.005205507135263178,0.0015407698940323226
facts,0.005191957673802093,0.0030183063280586693,0.004427673462855118,0.01040289856903087,-0.002087290307126073,0.0001277766916911298
choking,-0.0013846179776435322,-0.009364696251268553,-0.0052604263951300245,-0.0006291994956476841,-0.004843024647458439,-0.0029072923074346686
faded,0.004742779780609238,-0.020428511769963045,-0.009771776391643915,-0.008312496959425288,-0.016852331518063604,0.007282344205548926
tense,-0.0005854632467038396,0.0015973061167855042,-0.007432996466489095,-0.002629683627100188,-0.003966677499864385,0.0015575596365962386
sadness,-0.0017884022994948201,0.0020517292067596714,0.009518426900996487,-0.0040110713983927074,-0.0026495083576118803,-0.002004679050583861
jam,-0.05216249981521032,0.15485884300404215,-0.08229408227478999,-0.04374358573198914,-0.033164900891603816,-0.07914973976869717
graduation,-0.0005854632467038396,0.0015973061167855042,-0.007432996466489095,-0.002629683627100188,-0.003966677499864385,0.0015575596365962386
terrible,0.0006466018240521063,0.0007892366063642193,0.005978520438878433,-0.004256759968569192,-0.00014346875898586065,-0.0017351445695167388
terrified,0.008333886369853657,0.013517799514161318,-0.008798147451300411,0.009807598779210714,0.00031093833201928394,0.007595875412932415
circle,-0.004484091634394538,-0.0001201013405004269,0.003163636214349717,0.001140508442800636,0.00033689669699699885,-0.0009346752618985022
salt,0.0028745553657183783,-0.003405779912631931,-0.0021461557401018217,0.0026237269821488777,-0.0037033973743740792,-0.0008889386514148137
taxi,0.005416875964834716,-0.0028205086700775267,-0.0018502334065228013,0.006009463648433673,-0.003563814277207431,-0.0006474564381740699
grave,0.004166943184926801,0.006758899757080653,-0.004399073725650209,0.00490379938960532,0.00015546916600963918,-0.0027362533430921867
invasion,0.001624622585810462,0.006173628514526247,-0.004694996059229231,0.0015180627233205236,1.5886068842991824e-05,-0.002933179550652233
te,0.09314816415399918,0.02724339324648496,0.005958207949615588,0.12340458270957382,0.005040877566842373,0.0012683587469577815
tea,-0.0005854632467038396,0.0015973061167855042,-0.007432996466489095,-0.002629683627100188,-0.003966677499864385,0.0015575596365962386
clique,-0.0037659402550932306,-0.006756239036978128,-0.0031946185692175283,0.0010276300611124075,0.0018428921197053796,0.00129131809996778
teachers,-0.003352702136852804,0.006850849872367294,-0.0014510119306901962,-0.0016219853727877868,-0.002629736626949677,-0.0015834444973966443
cling,0.013790173692547132,0.0008093017396007434,0.005764994954257855,0.001152312921362968,0.0051438909707803,-0.00017700779044233745
salvation,-0.0029667855241534875,0.004205763331075962,-0.0053671886405765885,-0.0009728540703401191,0.002719239267299361,-0.00044615513495327
teardrops,0.0034138407142010724,-0.004464307149217571,-3.464096920464992e-06,-0.005264458222881595,-0.0014804096319005694,0.0007713597608437648
climbed,-0.003352702136852804,0.006850849872367294,-0.0014510119306901962,-0.0016219853727877868,-0.002629736626949677,-0.0015834444973966443
graveyard,0.001624622585810462,0.006173628514526247,-0.004694996059229231,0.0015180627233205236,1.5886068842991824e-05,-0.002933179550652233
clearing,-0.0021027693569448886,-0.002728558554790884,0.0010978283884372113,-0.0005163211139594335,-0.0063490200701667495,-0.00040632561763909246
clearer,-0.004270400150158683,0.012439207144339135,-0.006441930323498447,-0.0034896593157520573,-0.002753433655273335,0.00018709303155986235
invited,0.0028745553657183783,-0.003405779912631931,-0.0021461557401018217,0.0026237269821488777,-0.0037033973743740792,-0.0008889386514148137
inviting,-0.0007201484444394495,-0.017346798561641286,-0.010144582542491747,-0.002153218863919531,-0.012528985590539953,0.0026313549807907397
involved,0.0040783102474051544,-0.012446409459590304,-0.004887620244282188,-0.0067884775911534415,-0.009166370574982083,0.0019852809875889753
claws,0.0004932330882687297,-0.0007973226983414735,-8.034791418931669e-05,0.004280556538908947,0.002982519392789668,0.000649079468961229
